Category,Product,College,Size,Selling Price,Units Sold,Cost Price,Month
Stationery,Folder,Bharati Vidyapeeth,A5,90,20,70.0,January
Gadgets,Pendrive 32GB,KJ Somaiya,32GB,1220,181,1000.0,August
Bags & Cases,Tote Bag,KJ Somaiya,15-inch,440,164,380.0,April
Stationery,Folder,Fr. Agnel,A5,90,138,50.0,November
Accessories,Keychain,AISSMS,Large,480,103,330.0,November
Apparel,Hoodie,Thakur College,L,700,161,380.0,April
Stationery,Sticky Notes,HR College,A5,130,286,70.0,August
Apparel,Hoodie,VIT Pune,L,590,405,440.0,March
Stationery,Sticky Notes,SKNCOE,B5,80,404,60.0,February
Accessories,Shoes,SIES,UK8,110,181,60.0,May
Gadgets,Powerbank,Mumbai University,64GB,860,239,490.0,June
Bags & Cases,Backpack,St. Xavier's Mumbai,13-inch,380,186,260.0,August
Accessories,Wrist Band,Wilson College,Small,70,463,40.0,May
Stationery,Branded Notebook,SIES,A4,120,331,110.0,January
Gadgets,Earphones,VIIT,64GB,1040,335,740.0,September
Apparel,Sweatshirt,Thakur College,M,740,24,400.0,November
Gadgets,Earphones,SPIT,32GB,1330,372,970.0,October
Gadgets,Earphones,MIT WPU,64GB,1120,417,690.0,March
Stationery,Sticky Notes,Fr. Agnel,A4,60,246,50.0,April
Accessories,Keychain,PICT,Large,120,37,90.0,May
Apparel,College T-Shirt,Thakur College,L,650,245,470.0,March
Apparel,Sweatshirt,St. Xavier's Mumbai,M,390,23,230.0,August
Accessories,College Cap,PCCOE,Large,380,398,280.0,November
Gadgets,Earphones,HR College,256GB,820,297,440.0,December
Gadgets,Powerbank,SKNCOE,256GB,620,320,550.0,January
Bags & Cases,Backpack,SPIT,15-inch,860,80,730.0,November
Stationery,Sticky Notes,Fr. Agnel,A4,70,218,50.0,May
Accessories,College Badge,NMIMS,Free Size,170,380,100.0,November
Stationery,Pen Set,Thakur College,B5,60,237,40.0,May
Stationery,Branded Notebook,SIES,A5,150,127,90.0,May
Bags & Cases,Tote Bag,SKNCOE,15-inch,530,359,270.0,October
Stationery,Folder,DJ Sanghvi,A4,50,162,30.0,February
Apparel,Hoodie,DJ Sanghvi,M,360,36,310.0,August
Stationery,Sticky Notes,SPIT,B5,50,54,40.0,August
Stationery,Branded Notebook,MIT WPU,B5,80,66,60.0,June
Gadgets,Wireless Mouse,RAIT,32GB,1210,208,910.0,July
Apparel,Jacket,Rizvi College,M,370,22,250.0,November
Accessories,Shoes,Bhavan's College,UK8,420,448,300.0,September
Bags & Cases,Laptop Bag,Thakur College,17-inch,240,278,140.0,February
Bags & Cases,Laptop Bag,PICT,15-inch,620,256,350.0,October
Bags & Cases,Laptop Bag,St. Xavier's Mumbai,17-inch,570,377,320.0,June
Stationery,Sticky Notes,DJ Sanghvi,B5,140,147,100.0,November
Stationery,Pen Set,Thakur College,A5,140,275,80.0,March
Stationery,Branded Notebook,VESIT,B5,130,160,90.0,May
Apparel,Hoodie,DJ Sanghvi,L,370,179,190.0,May
Stationery,Sticky Notes,AISSMS,A5,140,459,110.0,January
Bags & Cases,Backpack,PCCOE,17-inch,650,201,480.0,November
Accessories,Wrist Band,SKNCOE,Free Size,430,400,310.0,May
Stationery,Folder,Mumbai University,A5,100,270,50.0,January
Stationery,Sticky Notes,SKNCOE,A5,80,464,70.0,December
Gadgets,Pendrive 32GB,Modern College,64GB,1220,305,690.0,May
Accessories,Shoes,Rizvi College,UK7,190,464,150.0,December
Accessories,College Badge,SKNCOE,Free Size,170,326,130.0,December
Accessories,College Cap,NMIMS,Small,470,351,370.0,July
Gadgets,Pendrive 32GB,Rizvi College,128GB,580,215,400.0,June
Accessories,College Socks,Fr. Agnel,Free Size,110,113,70.0,July
Apparel,College T-Shirt,PCCOE,S,370,432,200.0,March
Stationery,Pen Set,St. Xavier's Mumbai,B5,140,341,100.0,August
Gadgets,Pendrive 32GB,VIIT,128GB,1380,263,1150.0,March
Bags & Cases,College Pouch,VIIT,15-inch,760,359,540.0,February
Bags & Cases,Laptop Bag,DJ Sanghvi,17-inch,220,456,150.0,July
Bags & Cases,Laptop Bag,Bhavan's College,15-inch,670,255,470.0,April
Bags & Cases,College Pouch,SIES,13-inch,280,169,150.0,September
Accessories,College Socks,VESIT,Adjustable,140,171,100.0,March
Stationery,Folder,PICT,A4,140,189,110.0,January
Apparel,Jacket,SKNCOE,L,700,291,510.0,December
Stationery,Pen Set,KJ Somaiya,A4,100,277,80.0,November
Accessories,College Badge,HR College,Small,100,294,70.0,February
Gadgets,Powerbank,VIIT,32GB,660,277,530.0,May
Bags & Cases,College Pouch,Sinhgad College,15-inch,200,463,130.0,June
Bags & Cases,Tote Bag,KJ Somaiya,15-inch,860,190,430.0,October
Apparel,Hoodie,DY Patil Pune,S,490,296,430.0,November
Stationery,Pen Set,Bharati Vidyapeeth,A4,50,167,30.0,June
Bags & Cases,Tote Bag,SPIT,13-inch,630,349,490.0,April
Bags & Cases,Backpack,HR College,15-inch,350,63,300.0,September
Stationery,Branded Notebook,Modern College,B5,140,29,110.0,June
Accessories,College Cap,Sinhgad College,Free Size,420,379,240.0,March
Gadgets,Wireless Mouse,KJ Somaiya,256GB,860,151,510.0,March
Accessories,College Socks,MIT WPU,Adjustable,380,38,300.0,November
Gadgets,Pendrive 32GB,SPIT,128GB,830,420,740.0,May
Accessories,College Badge,NMIMS,Adjustable,190,61,140.0,April
Gadgets,Wireless Mouse,VIIT,64GB,980,349,530.0,August
Accessories,College Cap,Sinhgad College,Adjustable,240,100,150.0,January
Apparel,Hoodie,Bhavan's College,S,430,169,270.0,February
Apparel,Jacket,SKNCOE,L,650,169,390.0,February
Bags & Cases,Backpack,Rizvi College,13-inch,820,213,420.0,November
Stationery,Sticky Notes,St. Xavier's Mumbai,B5,130,164,80.0,August
Apparel,Sweatshirt,St. Xavier's Mumbai,S,530,341,330.0,June
Stationery,Sticky Notes,HR College,B5,60,197,30.0,February
Stationery,Folder,Thakur College,A5,130,357,110.0,September
Apparel,Hoodie,VIIT,M,350,318,230.0,August
Gadgets,Pendrive 32GB,SIES,128GB,1130,369,940.0,December
Accessories,Wrist Band,Fr. Agnel,Large,240,461,180.0,August
Gadgets,Pendrive 32GB,Mumbai University,256GB,1330,192,890.0,July
Accessories,College Badge,PICT,Free Size,170,10,120.0,December
Bags & Cases,Backpack,VESIT,15-inch,900,63,620.0,October
Apparel,Hoodie,AISSMS,M,610,134,350.0,May
Bags & Cases,Tote Bag,Thakur College,13-inch,390,496,290.0,April
Accessories,College Cap,VIT Pune,Small,140,66,110.0,December
Accessories,College Socks,SKNCOE,Small,250,362,150.0,August
Stationery,Branded Notebook,RAIT,B5,90,39,80.0,October
Gadgets,Earphones,SKNCOE,64GB,550,396,280.0,May
Gadgets,Powerbank,VIT Pune,128GB,800,297,550.0,November
Stationery,Sticky Notes,SIES,B5,90,181,50.0,March
Bags & Cases,Tote Bag,SIES,13-inch,160,212,80.0,November
Bags & Cases,College Pouch,SIES,13-inch,160,268,90.0,December
Gadgets,Wireless Mouse,VESIT,64GB,1370,264,970.0,June
Stationery,Folder,VESIT,B5,130,251,70.0,January
Stationery,Pen Set,SIES,A5,60,289,40.0,June
Apparel,Hoodie,Bhavan's College,M,580,492,330.0,February
Accessories,College Socks,Mumbai University,Free Size,300,148,160.0,September
Bags & Cases,Backpack,Mumbai University,15-inch,780,325,620.0,February
Stationery,Branded Notebook,HR College,A5,130,279,120.0,November
Accessories,Wrist Band,Bharati Vidyapeeth,Small,160,180,100.0,April
Bags & Cases,Laptop Bag,Bharati Vidyapeeth,15-inch,740,135,570.0,January
Stationery,Branded Notebook,Modern College,B5,140,309,120.0,May
Apparel,Hoodie,DY Patil Pune,M,490,27,320.0,February
Bags & Cases,College Pouch,DJ Sanghvi,17-inch,490,259,340.0,March
Bags & Cases,Backpack,VESIT,13-inch,700,137,410.0,July
Bags & Cases,Laptop Bag,PCCOE,15-inch,520,146,280.0,December
Gadgets,Wireless Mouse,Modern College,64GB,1280,221,650.0,April
Bags & Cases,Laptop Bag,Thakur College,13-inch,260,469,150.0,August
Accessories,College Cap,VESIT,Free Size,100,405,50.0,June
Gadgets,Pendrive 32GB,MIT WPU,128GB,570,339,470.0,February
Apparel,Sweatshirt,SKNCOE,S,300,304,240.0,April
Bags & Cases,Backpack,RAIT,13-inch,340,499,210.0,June
Apparel,Jacket,KJ Somaiya,M,310,324,260.0,August
Stationery,Sticky Notes,PCCOE,A5,100,329,80.0,March
Gadgets,Earphones,NMIMS,128GB,990,80,500.0,November
Stationery,Sticky Notes,Thakur College,A5,50,243,30.0,May
Bags & Cases,College Pouch,SIES,13-inch,580,111,320.0,January
Bags & Cases,College Pouch,NMIMS,17-inch,650,113,540.0,January
Accessories,College Socks,Sinhgad College,Large,410,277,330.0,October
Bags & Cases,Backpack,Wilson College,17-inch,890,304,710.0,October
Accessories,College Badge,NMIMS,Free Size,440,343,230.0,April
Stationery,Folder,Mumbai University,A5,100,131,50.0,July
Accessories,Shoes,PICT,UK8,460,267,320.0,November
Apparel,Hoodie,AISSMS,L,730,158,390.0,February
Stationery,Sticky Notes,PCCOE,A4,140,250,80.0,July
Accessories,Wrist Band,St. Xavier's Mumbai,Free Size,300,316,180.0,September
Accessories,Shoes,VIIT,UK8,70,99,50.0,August
Gadgets,Pendrive 32GB,HR College,256GB,1090,472,830.0,February
Gadgets,Wireless Mouse,MIT WPU,256GB,680,273,600.0,August
Gadgets,Earphones,SIES,256GB,560,468,430.0,March
Gadgets,Pendrive 32GB,DJ Sanghvi,128GB,740,171,590.0,May
Accessories,College Cap,Bharati Vidyapeeth,Small,370,58,290.0,March
Gadgets,Powerbank,VIIT,128GB,1130,182,810.0,June
Stationery,Branded Notebook,Sinhgad College,B5,120,392,60.0,July
Accessories,Keychain,Thakur College,Large,350,376,290.0,November
Stationery,Branded Notebook,VIT Pune,A4,90,224,60.0,October
Gadgets,Pendrive 32GB,COEP,32GB,1230,138,1100.0,February
Accessories,College Cap,Wilson College,Adjustable,320,303,260.0,March
Apparel,Sweatshirt,Mumbai University,S,570,434,470.0,January
Apparel,College T-Shirt,St. Xavier's Mumbai,S,340,264,240.0,September
Bags & Cases,Tote Bag,SIES,17-inch,770,108,550.0,October
Stationery,Branded Notebook,Mumbai University,B5,100,117,70.0,December
Bags & Cases,Backpack,Bhavan's College,13-inch,380,171,280.0,February
Stationery,Sticky Notes,KJ Somaiya,B5,60,261,40.0,December
Apparel,Jacket,Mumbai University,L,650,190,380.0,April
Apparel,Jacket,Fr. Agnel,M,350,399,180.0,October
Stationery,Branded Notebook,AISSMS,A5,60,480,40.0,October
Bags & Cases,College Pouch,SIES,17-inch,740,151,540.0,June
Accessories,Wrist Band,COEP,Small,200,242,110.0,February
Apparel,Sweatshirt,Bhavan's College,S,620,245,440.0,October
Stationery,Branded Notebook,SPIT,B5,100,435,90.0,January
Apparel,College T-Shirt,PCCOE,L,710,255,630.0,April
Gadgets,Powerbank,SIES,64GB,730,240,410.0,March
Accessories,Keychain,Bharati Vidyapeeth,Free Size,490,290,440.0,May
Gadgets,Earphones,Thakur College,64GB,830,277,590.0,November
Bags & Cases,College Pouch,HR College,17-inch,860,12,480.0,December
Gadgets,Earphones,Fr. Agnel,128GB,510,477,320.0,October
Accessories,College Socks,SPIT,Adjustable,480,50,390.0,July
Apparel,Sweatshirt,VIT Pune,S,570,298,300.0,December
Stationery,Sticky Notes,HR College,A4,110,94,90.0,November
Stationery,Branded Notebook,VESIT,A5,60,103,50.0,January
Bags & Cases,Tote Bag,KJ Somaiya,17-inch,790,208,500.0,March
Bags & Cases,Laptop Bag,Thakur College,15-inch,590,443,320.0,October
Apparel,Sweatshirt,MIT WPU,S,440,388,380.0,May
Stationery,Sticky Notes,Thakur College,A5,140,494,130.0,November
Stationery,Sticky Notes,Bharati Vidyapeeth,B5,60,460,50.0,September
Gadgets,Wireless Mouse,Modern College,32GB,510,20,420.0,September
Gadgets,Wireless Mouse,PCCOE,256GB,730,353,420.0,September
Gadgets,Powerbank,St. Xavier's Mumbai,32GB,700,333,610.0,June
Apparel,Hoodie,MIT WPU,M,480,398,320.0,April
Bags & Cases,Laptop Bag,DJ Sanghvi,13-inch,510,32,320.0,March
Bags & Cases,Backpack,DJ Sanghvi,15-inch,900,200,470.0,April
Accessories,Wrist Band,HR College,Small,110,107,70.0,July
Stationery,Folder,Thakur College,A5,100,77,50.0,June
Apparel,College T-Shirt,St. Xavier's Mumbai,L,520,170,390.0,March
Stationery,Branded Notebook,DY Patil Pune,A4,110,101,80.0,March
Accessories,College Cap,VESIT,Small,290,133,220.0,March
Accessories,Shoes,SIES,UK9,200,99,110.0,July
Accessories,College Cap,St. Xavier's Mumbai,Small,360,196,210.0,October
Apparel,Sweatshirt,MIT WPU,L,720,241,410.0,September
Gadgets,Wireless Mouse,VESIT,128GB,1480,27,1100.0,April
Apparel,Sweatshirt,HR College,M,360,208,270.0,October
Apparel,Jacket,COEP,L,740,131,650.0,February
Gadgets,Wireless Mouse,COEP,32GB,1040,101,600.0,January
Stationery,Folder,VIT Pune,A4,80,336,60.0,January
Bags & Cases,Backpack,DJ Sanghvi,17-inch,180,436,130.0,February
Gadgets,Earphones,Bhavan's College,64GB,1050,11,830.0,April
Bags & Cases,Tote Bag,SKNCOE,15-inch,620,103,380.0,January
Stationery,Branded Notebook,PICT,B5,50,122,40.0,October
Apparel,Hoodie,Rizvi College,S,550,482,460.0,September
Stationery,Folder,Bharati Vidyapeeth,A5,140,493,90.0,September
Accessories,Shoes,SPIT,UK10,330,132,190.0,April
Gadgets,Powerbank,Wilson College,128GB,1170,273,890.0,October
Apparel,College T-Shirt,SIES,M,630,203,460.0,April
Bags & Cases,Backpack,HR College,13-inch,340,361,280.0,August
Accessories,Keychain,RAIT,Adjustable,390,373,350.0,January
Accessories,Shoes,Fr. Agnel,UK9,150,455,80.0,July
Accessories,Shoes,DJ Sanghvi,UK8,340,181,270.0,October
Bags & Cases,Laptop Bag,DY Patil Pune,13-inch,310,339,170.0,September
Gadgets,Pendrive 32GB,DJ Sanghvi,128GB,1180,41,650.0,July
Apparel,College T-Shirt,HR College,M,710,443,550.0,September
Accessories,College Badge,AISSMS,Large,280,85,240.0,May
Gadgets,Pendrive 32GB,VIIT,128GB,1350,170,920.0,June
Apparel,Jacket,VIT Pune,M,660,32,370.0,February
Gadgets,Powerbank,VESIT,32GB,650,214,540.0,December
Bags & Cases,Backpack,RAIT,17-inch,370,362,270.0,November
Apparel,Jacket,Bhavan's College,M,350,94,190.0,February
Apparel,College T-Shirt,Mumbai University,M,660,434,350.0,September
Gadgets,Earphones,SKNCOE,64GB,640,115,510.0,May
Bags & Cases,Backpack,Rizvi College,15-inch,750,454,520.0,June
Stationery,Pen Set,SKNCOE,A5,130,271,80.0,December
Apparel,Sweatshirt,VESIT,S,790,204,660.0,April
Apparel,Hoodie,Wilson College,L,520,400,410.0,June
Apparel,College T-Shirt,Wilson College,S,330,332,190.0,October
Bags & Cases,Backpack,Wilson College,13-inch,640,255,550.0,July
Accessories,College Cap,MIT WPU,Free Size,490,60,350.0,September
Accessories,Wrist Band,Fr. Agnel,Free Size,350,54,260.0,June
Accessories,Wrist Band,DJ Sanghvi,Free Size,330,33,240.0,June
Gadgets,Pendrive 32GB,Thakur College,64GB,640,49,490.0,September
Apparel,Sweatshirt,Thakur College,S,320,327,270.0,July
Gadgets,Wireless Mouse,COEP,32GB,1050,172,830.0,March
Apparel,College T-Shirt,AISSMS,S,300,82,260.0,June
Bags & Cases,College Pouch,Rizvi College,13-inch,340,344,270.0,March
Stationery,Branded Notebook,Thakur College,B5,130,217,110.0,April
Accessories,College Cap,Modern College,Free Size,180,318,130.0,November
Gadgets,Powerbank,DY Patil Pune,64GB,1200,65,660.0,November
Gadgets,Earphones,Modern College,32GB,1490,305,860.0,September
Gadgets,Wireless Mouse,PICT,64GB,1070,204,550.0,July
Gadgets,Powerbank,Fr. Agnel,128GB,760,474,460.0,June
Gadgets,Powerbank,Bharati Vidyapeeth,64GB,720,41,420.0,August
Apparel,College T-Shirt,Bharati Vidyapeeth,L,800,234,570.0,December
Accessories,College Socks,Bharati Vidyapeeth,Free Size,130,264,90.0,March
Apparel,College T-Shirt,SPIT,M,300,323,230.0,April
Accessories,Shoes,Rizvi College,UK8,390,164,240.0,August
Stationery,Pen Set,Fr. Agnel,B5,90,190,80.0,November
Bags & Cases,Tote Bag,SKNCOE,15-inch,370,57,320.0,July
Bags & Cases,Laptop Bag,St. Xavier's Mumbai,15-inch,230,88,200.0,December
Gadgets,Wireless Mouse,St. Xavier's Mumbai,128GB,1160,290,1030.0,August
Accessories,Keychain,Bhavan's College,Large,210,460,180.0,October
Apparel,Hoodie,Wilson College,L,480,120,250.0,July
Apparel,College T-Shirt,KJ Somaiya,M,630,40,330.0,January
Apparel,Jacket,HR College,M,670,259,540.0,October
Accessories,Wrist Band,SKNCOE,Large,170,405,120.0,March
Bags & Cases,Backpack,PCCOE,15-inch,680,156,350.0,November
Apparel,Jacket,Sinhgad College,M,390,472,280.0,September
Stationery,Pen Set,Mumbai University,B5,130,384,70.0,September
Apparel,College T-Shirt,Wilson College,M,690,475,610.0,November
Apparel,Hoodie,SIES,S,360,485,220.0,August
Gadgets,Pendrive 32GB,NMIMS,32GB,880,406,500.0,August
Accessories,College Cap,SKNCOE,Free Size,200,469,110.0,December
Bags & Cases,Tote Bag,RAIT,17-inch,770,85,450.0,April
Gadgets,Wireless Mouse,COEP,128GB,940,382,650.0,September
Stationery,Folder,Thakur College,A4,100,209,80.0,July
Accessories,Keychain,NMIMS,Small,440,123,390.0,April
Bags & Cases,Tote Bag,Bharati Vidyapeeth,13-inch,370,206,200.0,July
Stationery,Folder,Bharati Vidyapeeth,A4,100,214,50.0,March
Bags & Cases,College Pouch,VESIT,15-inch,210,187,110.0,September
Bags & Cases,Laptop Bag,PCCOE,17-inch,840,147,670.0,January
Bags & Cases,College Pouch,SIES,15-inch,210,273,170.0,May
Gadgets,Pendrive 32GB,Bhavan's College,32GB,1150,168,690.0,January
Bags & Cases,College Pouch,RAIT,13-inch,750,302,540.0,March
Gadgets,Wireless Mouse,VIT Pune,256GB,970,329,700.0,March
Accessories,Wrist Band,Thakur College,Large,60,361,40.0,May
Gadgets,Earphones,SKNCOE,256GB,1220,207,840.0,June
Stationery,Sticky Notes,AISSMS,A4,70,418,40.0,January
Accessories,Keychain,VIT Pune,Small,140,203,80.0,March
Gadgets,Earphones,DJ Sanghvi,256GB,1230,278,830.0,January
Accessories,Wrist Band,Modern College,Small,270,101,150.0,December
Accessories,College Badge,VIIT,Free Size,200,370,180.0,September
Apparel,Sweatshirt,PCCOE,L,590,222,450.0,August
Bags & Cases,Tote Bag,KJ Somaiya,13-inch,620,246,330.0,April
Accessories,Shoes,VESIT,UK9,190,11,150.0,January
Stationery,Pen Set,Bhavan's College,B5,150,453,100.0,October
Apparel,Hoodie,KJ Somaiya,L,450,65,380.0,August
Gadgets,Pendrive 32GB,Rizvi College,128GB,840,156,530.0,June
Gadgets,Earphones,HR College,256GB,520,410,300.0,June
Gadgets,Earphones,Bhavan's College,32GB,1250,499,880.0,January
Bags & Cases,Laptop Bag,HR College,13-inch,290,112,170.0,November
Stationery,Folder,SKNCOE,A5,50,320,40.0,May
Apparel,Jacket,Bharati Vidyapeeth,L,460,116,350.0,January
Accessories,Wrist Band,AISSMS,Adjustable,150,249,90.0,June
Bags & Cases,Tote Bag,SKNCOE,13-inch,190,180,100.0,October
Accessories,College Socks,Bharati Vidyapeeth,Adjustable,170,70,150.0,September
Gadgets,Earphones,SIES,128GB,520,197,420.0,October
Gadgets,Pendrive 32GB,DY Patil Pune,32GB,1040,474,900.0,September
Bags & Cases,Laptop Bag,NMIMS,15-inch,560,411,400.0,November
Gadgets,Powerbank,MIT WPU,128GB,520,31,290.0,September
Gadgets,Powerbank,Bhavan's College,256GB,780,79,510.0,May
Stationery,Branded Notebook,Bharati Vidyapeeth,A5,110,158,90.0,September
Gadgets,Pendrive 32GB,Rizvi College,64GB,1050,327,710.0,January
Accessories,Shoes,MIT WPU,UK8,430,332,230.0,October
Gadgets,Wireless Mouse,Bhavan's College,64GB,500,304,300.0,July
Bags & Cases,Laptop Bag,PICT,13-inch,390,249,220.0,April
Bags & Cases,Tote Bag,AISSMS,13-inch,920,469,530.0,May
Bags & Cases,College Pouch,Bhavan's College,17-inch,530,151,380.0,August
Gadgets,Earphones,SKNCOE,32GB,1450,497,860.0,June
Stationery,Pen Set,NMIMS,A4,90,413,60.0,July
Accessories,Shoes,NMIMS,UK10,260,425,150.0,July
Accessories,College Cap,NMIMS,Free Size,70,86,60.0,November
Accessories,College Socks,PCCOE,Adjustable,50,427,40.0,September
Accessories,College Badge,COEP,Small,400,78,300.0,May
Apparel,Jacket,Rizvi College,L,390,126,340.0,September
Accessories,College Badge,NMIMS,Free Size,380,231,330.0,September
Apparel,College T-Shirt,Rizvi College,S,520,180,350.0,July
Accessories,College Badge,Modern College,Large,160,74,80.0,October
Gadgets,Earphones,PICT,32GB,1120,339,880.0,July
Gadgets,Powerbank,VIIT,128GB,1170,74,640.0,May
Gadgets,Earphones,Bhavan's College,64GB,900,88,760.0,September
Accessories,College Cap,SPIT,Small,140,119,100.0,October
Stationery,Folder,Bharati Vidyapeeth,A5,70,386,60.0,October
Accessories,Wrist Band,MIT WPU,Free Size,220,293,190.0,January
Apparel,College T-Shirt,SKNCOE,S,320,142,250.0,March
Bags & Cases,Tote Bag,Fr. Agnel,15-inch,500,282,420.0,February
Bags & Cases,Tote Bag,HR College,15-inch,880,463,700.0,October
Accessories,College Cap,Bhavan's College,Large,320,334,290.0,January
Stationery,Sticky Notes,Wilson College,A5,70,211,50.0,April
Accessories,Keychain,VIIT,Small,360,260,190.0,November
Bags & Cases,College Pouch,MIT WPU,13-inch,320,460,250.0,March
Stationery,Pen Set,Bhavan's College,B5,120,342,80.0,September
Stationery,Folder,Thakur College,A5,140,488,110.0,August
Accessories,Keychain,AISSMS,Large,330,190,240.0,September
Gadgets,Earphones,PICT,256GB,1490,73,910.0,May
Accessories,College Badge,Modern College,Adjustable,270,312,180.0,March
Gadgets,Pendrive 32GB,Bharati Vidyapeeth,256GB,1210,189,870.0,January
Stationery,Folder,MIT WPU,B5,50,325,30.0,September
Accessories,Wrist Band,DJ Sanghvi,Free Size,150,41,110.0,October
Apparel,College T-Shirt,KJ Somaiya,L,310,329,170.0,October
Apparel,Sweatshirt,NMIMS,S,310,118,240.0,September
Gadgets,Powerbank,Thakur College,256GB,1140,476,920.0,August
Bags & Cases,College Pouch,VESIT,15-inch,810,258,420.0,November
Accessories,Shoes,KJ Somaiya,UK7,310,57,210.0,July
Gadgets,Earphones,Fr. Agnel,128GB,1370,451,830.0,June
Accessories,College Cap,HR College,Large,280,266,240.0,June
Bags & Cases,Laptop Bag,Rizvi College,13-inch,210,210,130.0,January
Stationery,Sticky Notes,Thakur College,A4,70,324,60.0,November
Bags & Cases,College Pouch,Sinhgad College,13-inch,430,92,290.0,February
Stationery,Pen Set,Wilson College,B5,130,268,70.0,January
Gadgets,Powerbank,Wilson College,32GB,940,491,700.0,August
Stationery,Branded Notebook,VIT Pune,A5,130,284,110.0,October
Bags & Cases,Backpack,NMIMS,13-inch,160,385,140.0,December
Gadgets,Wireless Mouse,NMIMS,128GB,850,458,680.0,January
Bags & Cases,Backpack,Fr. Agnel,17-inch,230,455,170.0,October
Gadgets,Pendrive 32GB,Modern College,128GB,1180,480,950.0,February
Apparel,Hoodie,PCCOE,M,770,85,590.0,June
Gadgets,Powerbank,DY Patil Pune,256GB,1020,156,530.0,January
Stationery,Pen Set,MIT WPU,B5,70,328,40.0,May
Gadgets,Earphones,PCCOE,64GB,1480,143,850.0,January
Gadgets,Earphones,MIT WPU,64GB,1440,61,770.0,April
Gadgets,Earphones,VIT Pune,128GB,510,234,450.0,August
Bags & Cases,Laptop Bag,Thakur College,15-inch,460,158,310.0,May
Gadgets,Earphones,MIT WPU,32GB,640,303,370.0,August
Stationery,Pen Set,Fr. Agnel,B5,110,51,80.0,May
Apparel,Sweatshirt,NMIMS,L,700,139,480.0,February
Accessories,College Badge,SPIT,Adjustable,430,340,280.0,December
Bags & Cases,College Pouch,Sinhgad College,17-inch,850,13,460.0,February
Bags & Cases,College Pouch,Fr. Agnel,15-inch,260,375,220.0,August
Gadgets,Powerbank,SKNCOE,256GB,1130,363,640.0,April
Apparel,Sweatshirt,SIES,S,790,350,440.0,November
Accessories,College Socks,DJ Sanghvi,Large,480,195,250.0,July
Gadgets,Earphones,AISSMS,64GB,560,465,340.0,October
Bags & Cases,Laptop Bag,RAIT,13-inch,320,362,220.0,March
Gadgets,Powerbank,VIIT,64GB,840,105,710.0,June
Stationery,Folder,SKNCOE,A4,90,130,60.0,December
Bags & Cases,Backpack,Wilson College,17-inch,720,388,630.0,August
Stationery,Pen Set,KJ Somaiya,A4,90,454,50.0,October
Bags & Cases,College Pouch,Mumbai University,15-inch,660,472,400.0,January
Accessories,College Badge,COEP,Large,120,38,70.0,May
Accessories,Wrist Band,PCCOE,Free Size,430,120,320.0,July
Bags & Cases,Tote Bag,COEP,13-inch,560,143,360.0,October
Gadgets,Powerbank,Bharati Vidyapeeth,256GB,1060,256,710.0,March
Bags & Cases,College Pouch,Bharati Vidyapeeth,17-inch,630,155,410.0,November
Bags & Cases,Laptop Bag,Bhavan's College,17-inch,280,369,240.0,November
Bags & Cases,Laptop Bag,HR College,15-inch,910,128,720.0,December
Gadgets,Pendrive 32GB,VIIT,128GB,840,302,500.0,April
Accessories,College Cap,Mumbai University,Small,240,279,180.0,March
Gadgets,Earphones,AISSMS,64GB,970,253,720.0,March
Bags & Cases,Laptop Bag,HR College,17-inch,290,259,190.0,February
Bags & Cases,Backpack,Bharati Vidyapeeth,17-inch,250,332,200.0,November
Gadgets,Earphones,VIT Pune,32GB,1350,419,910.0,January
Stationery,Pen Set,St. Xavier's Mumbai,A5,140,95,120.0,September
Gadgets,Wireless Mouse,SKNCOE,256GB,600,100,410.0,November
Bags & Cases,Tote Bag,Fr. Agnel,13-inch,750,10,500.0,January
Gadgets,Earphones,Modern College,256GB,1460,395,810.0,February
Accessories,College Cap,AISSMS,Large,240,470,130.0,April
Stationery,Branded Notebook,COEP,B5,70,159,60.0,August
Stationery,Branded Notebook,Sinhgad College,A4,100,482,70.0,May
Apparel,Jacket,Bharati Vidyapeeth,M,530,251,420.0,May
Apparel,Sweatshirt,Rizvi College,S,710,137,480.0,July
Stationery,Sticky Notes,Wilson College,A5,50,13,30.0,July
Gadgets,Wireless Mouse,PCCOE,256GB,930,435,820.0,February
Gadgets,Pendrive 32GB,Sinhgad College,64GB,620,268,490.0,January
Accessories,College Badge,PCCOE,Small,450,58,320.0,November
Accessories,Shoes,PCCOE,UK6,140,40,100.0,April
Bags & Cases,Tote Bag,Fr. Agnel,17-inch,710,426,570.0,July
Bags & Cases,Laptop Bag,Thakur College,17-inch,970,291,730.0,August
Gadgets,Wireless Mouse,HR College,32GB,1320,497,980.0,June
Bags & Cases,College Pouch,Sinhgad College,17-inch,890,474,720.0,November
Accessories,College Badge,SPIT,Adjustable,340,63,180.0,February
Accessories,Wrist Band,SKNCOE,Free Size,270,193,140.0,January
Accessories,Keychain,SIES,Adjustable,480,279,400.0,October
Gadgets,Wireless Mouse,SIES,128GB,1440,44,730.0,October
Accessories,College Badge,DJ Sanghvi,Large,210,214,140.0,October
Apparel,Sweatshirt,Thakur College,S,510,479,380.0,September
Bags & Cases,College Pouch,VESIT,13-inch,550,68,290.0,April
Apparel,Sweatshirt,Modern College,M,350,171,310.0,September
Apparel,Sweatshirt,HR College,S,590,320,490.0,November
Apparel,Jacket,MIT WPU,L,590,356,480.0,February
